fileName,cameraAngle,medianLeafCount,maxLeafCount,leafAngle,stalkHeight,panicleExsertion
.,NaN,NaN,NaN,NaN,NaN,NaN
..,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-075-PI 658832_2018-02-07_01-48-02_6993100,Vis_SV_72,6,7,52.8435915,483,NaN
1-26-18_Sorghum_seed_915-076-PI 658833_2018-01-26_12-57-32_6696900,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-077-PI 658834_2018-02-05_02-17-13_6945900,Vis_SV_108,15,15,147.3475997,531,NaN
1-26-18_Sorghum_seed_915-078-PI 658835_2018-02-07_03-08-43_6996400,NaN,14,17,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-080-PI 658837_2018-02-07_02-56-16_6995900,Vis_SV_0,8,9,56.11352993,618,76
1-26-18_Sorghum_seed_915-080-PI 658837_2018-02-07_03-16-14_6996700,Vis_SV_108,10,11,52.72470169,682,24
1-26-18_Sorghum_seed_915-081-PI 658838_2018-02-09_02-15-09_7054800,Vis_SV_72,6,8,43.78328204,1109,NaN
1-26-18_Sorghum_seed_915-082-PI 658839_2018-01-29_02-50-44_6794500,Vis_SV_108,6,8,50.29425887,345,95
1-26-18_Sorghum_seed_915-083-PI 658840_2018-02-05_01-08-19_6943000,Vis_SV_0,5,6,62.7406908,488,18
1-26-18_Sorghum_seed_915-084-PI 658841_2018-02-09_11-03-08_7048200,NaN,15,16,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-085-PI 658842_2018-02-09_10-53-11_7047800,Vis_SV_144,12,14,43.01905296,777,88
1-26-18_Sorghum_seed_915-086-PI 658843_2018-02-05_02-03-56_6945300,Vis_SV_0,1,1,154.9550357,205,350
1-26-18_Sorghum_seed_915-087-PI 658844_2018-01-26_11-52-44_6694300,Vis_SV_36,6,8,164.6417569,168,40
1-26-18_Sorghum_seed_915-088-PI 658845_2018-02-05_01-06-21_6942900,Vis_SV_0,2,3,51.87099966,288,273
1-26-18_Sorghum_seed_915-089-PI 658846_2018-02-05_12-56-08_6942400,Vis_SV_72,5,6,75.57437991,175,NaN
